fixture,shipments,jobs,vehicles,median_ms,p99_ms,cost,routes,unassigned,distance_m,duration_s
problem-co-located-breakdown-reaccum,3,0,1,7,8,4850,1,0,22500,1800
problem-co-located-group,4,0,1,7,9,3020,1,0,null,2600
problem-co-located-split,4,0,2,7,9,2980,1,0,null,2500
problem-co-located-tw-stagger,3,0,1,7,8,430,1,0,null,230
problem-cost-breakdown,0,2,1,0,0,18200,1,0,23000,2700
problem-custom-cost-matrix,0,2,1,0,0,28575,1,0,null,2700
problem-embedded-shipments-3,3,0,2,7,9,225627,2,2,311302,25627
problem-embedded-shipments-4,4,0,2,7,7,226109,2,2,315743,26109
problem-embedded-shipments-5,5,0,2,7,9,226995,2,2,321010,26995
problem-example-2,0,2,1,3,3,5461,1,0,null,5461
problem-soft-tw-after-preferred,1,0,1,6,8,3150,1,0,null,2900
problem-soft-tw-before-preferred,1,0,1,6,7,3200,1,0,null,1700
problem-soft-tw-shift-late,1,0,1,6,9,1700,1,0,null,1700
problem-synthetic-30,28,0,3,63,69,53722,3,0,null,46896
problem-unassigned-capacity,0,1,1,6,7,0,0,1,null,0
problem-unassigned-skills,0,1,1,6,6,0,0,1,null,0
problem-unassigned-tw,0,1,1,6,7,0,0,1,null,0
